,adults_in_families,average_shelter_stays_for_families,children,month,single_adults,single_men,single_women,total_families,total_persons_in_families,total_population,year
,7190,287,8863,JAN,6902,5358,1544,5035,16053,22955,2000
,7214,290,8887,FEB,7039,5476,1563,5034,16101,23140,2000
,7204,294,8835,MAR,7026,5462,1564,5012,16039,23065,2000
,7230,298,8847,APR,6953,5397,1556,5004,16077,23030,2000
,7307,299,8946,MAY,6867,5314,1553,5064,16253,23120,2000
,7363,303,10091,JUN,6814,5248,1566,5118,17454,24268,2000
,7594,307,9303,JUL,6798,5229,1569,5254,16897,23695,2000
,7633,303,9406,AUG,6790,5226,1564,5258,17039,23829,2000
,7804,295,9724,SEP,6834,5270,1564,5387,17528,24362,2000
,7850,297,9793,OCT,6894,5313,1581,5449,17643,24537,2000
,7883,302,9920,NOV,7032,5436,1597,5483,17803,24835,2000
,7928,308,10062,DEC,7245,5597,1648,5479,17990,25235,2000
,8007,310,10140,JAN,7382,5710,1672,5553,18147,25529,2001
,8112,320,10242,FEB,7462,5757,1705,5620,18354,25816,2001
,8232,321,10489,MAR,7505,5792,1714,5718,18721,26226,2001
,8497,327,10828,APR,7505,5806,1699,5884,19325,26830,2001
,8623,328,11005,MAY,7424,5743,1682,5989,19628,27052,2001
,8892,328,11289,JUN,7393,5706,1687,6148,20181,27574,2001
,9260,324,12006,JUL,7385,5687,1698,6436,21266,28651,2001
,9432,315,12283,AUG,7440,5716,1724,6550,21715,29155,2001
,9394,316,12173,SEP,7424,5702,1722,6503,21567,28991,2001
,9512,343,12414,OCT,7572,5846,1726,6596,21926,29498,2001
,9650,343,12576,NOV,7576,5843,1733,6669,22226,29802,2001
,9890,320,12868,DEC,7681,5933,1748,6786,22758,30439,2001
,10108,319,13088,JAN,7867,6094,1773,6921,23196,31063,2002
,10473,309,13392,FEB,7914,6161,1753,7162,23865,31779,2002
,10920,301,13970,MAR,7959,6199,1760,7455,24890,32849,2002
,11361,304,14387,APR,7851,6099,1752,7742,25748,33599,2002
,11612,295,14553,MAY,7722,5955,1767,7879,26165,33887,2002
,11707,297,14574,JUN,7557,5806,1751,7916,26281,33838,2002
,12242,295,15255,JUL,7505,5727,1778,8333,27497,35002,2002
,12657,293,15844,AUG,7467,5653,1814,8602,28501,35968,2002
,13027,290,16296,SEP,7653,5807,1846,8873,29323,36976,2002
,13116,288,16406,OCT,7741,5862,1879,8925,29522,37263,2002
,13334,293,16584,NOV,7857,5958,1899,9057,29918,37775,2002
,13439,297,16633,DEC,7968,6064,1904,9097,30072,38040,2002
,13617,300,16711,JAN,8136,6233,1903,9242,30328,38464,2003
,13348,300,16639,FEB,8237,6321,1916,9213,29987,38224,2003
,13374,310,16615,MAR,8265,6353,1912,9242,29989,38254,2003
,13459,315,16685,APR,8326,6394,1932,9261,30144,38470,2003
,13554,322,16854,MAY,8254,6334,1920,9303,30408,38662,2003
,13457,329,16759,JUN,8137,6221,1916,9257,30216,38353,2003
,13531,335,16884,JUL,8000,6101,1899,9274,30415,38415,2003
,13115,332,16501,AUG,7951,6067,1884,9135,29616,37567,2003
,13378,333,16778,SEP,8089,6153,1936,9221,30156,38245,2003
